51,25,21,9307,4,0.6,3,0,0,0,1,1,-1
34,9,92,90005,1,2.8,1,0,0,0,1,0,-1
59,35,59,90005,4,1.2,2,0,0,0,1,0,-1
45,21,29,90005,1,0.3,3,0,0,0,1,0,-1
32,8,141,90005,2,4.33,1,0,0,0,0,0,-1
33,9,10,90005,4,1,1,81,0,0,0,1,-1
59,35,124,90007,1,7.4,1,0,0,0,0,1,-1
43,19,31,90007,4,0.3,1,156,0,0,1,0,-1
58,34,63,90007,4,1.5,1,0,0,0,1,0,-1
59,33,110,90007,3,4.4,1,264,0,0,1,0,-1
55,29,35,90007,3,1.4,1,0,0,0,0,0,-1
49,25,65,90007,2,1,3,0,0,0,1,1,-1
53,27,81,90009,3,1.7,2,0,0,0,0,0,-1
36,10,55,90009,1,2,1,95,0,0,1,0,-1
66,41,145,90009,1,2.5,1,0,0,0,1,0,-1
27,2,129,90009,2,3.3,1,0,1,0,0,0,-1
46,22,152,90009,2,1.4,1,0,0,0,1,0,-1
47,22,81,90009,4,3.6,3,0,0,0,1,1,-1
59,35,73,90009,4,2.3,3,0,0,0,0,0,-1
59,34,23,90009,4,0.4,2,78,0,0,0,0,-1
61,37,20,90011,3,0.4,2,94,0,0,0,0,-1
40,16,89,90011,4,0.8,1,155,0,0,1,0,-1
52,26,49,90011,1,1.4,3,0,0,0,1,0,-1
30,5,125,90016,4,0.5,3,0,0,1,1,0,1
54,24,25,90016,4,0.4,3,0,0,0,0,1,-1
39,15,61,90018,2,0.6,3,127,0,0,0,0,-1
34,8,38,90018,4,0.2,1,0,0,0,0,0,-1
60,34,44,90018,2,0.3,1,192,0,0,1,0,-1
44,20,38,90018,2,2.1,3,95,0,0,1,0,-1
32,7,132,90019,4,1.1,2,412,0,0,1,0,1
49,22,82,90019,1,2.67,2,125,0,0,1,0,-1
28,4,155,90019,1,6.33,1,0,0,0,0,0,-1
62,36,85,90019,2,1.7,3,98,0,0,0,0,-1
41,15,65,90019,3,0.5,3,0,0,0,0,0,-1
47,23,105,90024,2,3.3,1,0,0,0,0,0,-1
45,20,155,90024,1,7,1,0,0,0,1,1,-1
28,3,84,90024,4,0.2,1,0,0,0,1,1,-1
61,37,54,90024,4,1.2,2,129,0,0,1,1,-1
28,3,52,90024,4,2.2,1,230,0,0,1,0,-1
56,31,21,90024,2,0.2,3,137,0,1,1,1,-1
43,19,72,90024,2,1.7,1,0,0,0,1,0,-1
56,30,45,90024,4,1.5,3,0,0,0,0,0,-1
61,35,112,90024,4,1.7,3,0,0,0,0,1,-1
56,30,39,90024,3,1.4,1,131,0,0,0,1,-1
41,15,59,90024,4,0.2,3,0,0,0,0,0,-1
48,22,84,90024,2,0.4,3,145,0,0,0,0,-1
32,5,63,90024,4,2,2,0,1,0,1,0,-1
51,25,148,90024,1,1,1,0,0,0,0,0,-1
33,8,133,90024,1,0,1,0,0,0,1,0,-1
28,2,31,90024,2,0.3,2,0,1,0,1,0,-1
44,20,22,90024,1,1,1,91,0,0,0,0,-1
49,24,70,90024,1,2.9,1,0,0,0,0,1,-1
61,37,13,90024,2,0.3,3,0,0,0,1,0,-1
57,31,64,90024,3,2.5,1,208,0,0,0,1,-1
49,23,68,90024,1,1.5,2,0,0,0,0,0,-1
54,30,40,90024,2,1,3,0,0,0,0,0,-1
56,30,31,90024,4,1.5,3,0,0,0,1,0,-1
35,10,139,90024,1,4.6,1,0,0,0,0,0,-1
36,6,69,90024,4,4,3,0,0,0,1,0,-1
40,14,92,90024,4,1.4,2,0,0,0,1,0,-1
51,26,98,90024,1,1.3,3,0,0,0,1,1,-1
45,21,151,90024,2,3.3,1,328,0,0,0,0,-1
46,21,38,90024,1,2.4,1,130,0,0,1,0,-1
52,27,81,90024,4,3.8,2,0,0,0,0,1,-1
29,4,55,90024,4,2,2,0,1,0,1,0,-1
44,19,85,90024,2,3.8,3,0,0,0,1,0,-1
33,9,152,90024,1,6,1,0,0,0,1,1,-1
39,12,23,90024,3,1,2,0,0,0,1,1,-1
35,9,41,90024,4,1.2,2,0,0,0,1,0,-1
48,24,25,90024,4,0.5,2,0,0,0,0,0,-1
60,34,65,90024,4,1.7,2,0,1,0,1,0,-1
64,34,179,90024,2,4.5,3,400,0,0,0,0,1
